#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:41+0000 #
#####################################################################
# 
#
# The columns have the following meaning: 
# time TetR[Mean] LacI[Mean] AcI[Mean] 
258.00122863551013 106.0 100.0 100.0 
259.50878171780425 106.0 99.0 93.0 
261.0122536539183 106.0 99.0 85.0 
262.5115656740326 103.0 98.0 95.0 
264.01895534164396 101.0 99.0 100.0 
265.5055787149826 100.0 99.0 99.0 
267.00127619445345 98.0 94.0 95.0 
268.5020371144881 98.0 102.0 94.0 
270.04390910355494 94.0 106.0 103.0 
271.52325571869784 88.0 105.0 99.0 
273.00842738401394 88.0 103.0 91.0 
274.5017112930355 86.0 102.0 94.0 
276.0141574828681 93.0 111.0 85.0 
277.5538870880504 90.0 106.0 86.0 
279.0053344877965 90.0 112.0 84.0 
280.503293861834 88.0 110.0 91.0 
282.025612857842 87.0 116.0 101.0 
283.527436341494 81.0 118.0 99.0 
285.0294525452744 85.0 130.0 109.0 
286.52425920770463 85.0 114.0 99.0 
288.0101216485119 87.0 112.0 105.0 
289.5018910362743 96.0 93.0 109.0 
291.0171210516167 102.0 84.0 108.0 
292.5015375936315 97.0 86.0 114.0 
294.0719323426309 96.0 90.0 108.0 
295.5136682814886 93.0 90.0 115.0 
297.00451257019733 96.0 93.0 114.0 
298.5229972175371 91.0 95.0 106.0 
300.0076950471677 93.0 101.0 111.0 
301.50956139075464 93.0 100.0 108.0 
303.0072847266451 93.0 103.0 113.0 
304.505276680164 89.0 96.0 114.0 
306.00017814454276 93.0 96.0 110.0 
307.58093205129234 95.0 93.0 111.0 
309.0413047220973 93.0 102.0 104.0 
310.5036021433659 92.0 100.0 105.0 
312.000640131648 93.0 104.0 104.0 
313.57358924988137 99.0 106.0 98.0 
315.0015458635804 99.0 107.0 107.0 
316.5454977541998 88.0 106.0 103.0 
318.0053461384541 96.0 97.0 96.0 
319.50203472547844 91.0 96.0 101.0 
321.00425284495134 89.0 95.0 99.0 
322.5188538320731 90.0 89.0 102.0 
324.02411072797645 101.0 90.0 100.0 
325.50365719009676 107.0 99.0 100.0 
327.018672595156 116.0 100.0 105.0 
328.5064006753902 104.0 98.0 97.0 
330.0164910334424 101.0 100.0 105.0 
331.508297861824 103.0 104.0 104.0 
333.00974852032255 103.0 106.0 103.0 
334.50048666211086 99.0 98.0 100.0 
336.03661605202564 100.0 98.0 99.0 
337.50959953339475 98.0 92.0 91.0 
339.0242367223231 91.0 101.0 92.0 
340.5072488551071 93.0 103.0 89.0 
342.01405753139676 98.0 102.0 98.0 
343.5038052512086 99.0 97.0 100.0 
